City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Newberry,1,US,1595266632,50,34.27,-81.62,100.0,8.05
1,Kapaa,40,US,1595266477,69,22.08,-159.32,80.6,14.99
2,Ojinaga,1,MX,1595266633,33,29.57,-104.42,89.6,5.82
3,Myaundzha,31,RU,1595266633,70,63.05,147.19,53.26,3.56
4,Butaritari,90,KI,1595266478,67,3.07,172.79,82.78,6.58
5,Hambantota,100,LK,1595266634,81,6.12,81.12,79.97,13.4
6,Puerto Escondido,75,MX,1595266634,70,15.85,-97.07,84.2,6.93
7,Punta Arenas,40,CL,1595266540,80,-53.15,-70.92,33.8,5.82
8,Port Alfred,0,ZA,1595266634,61,-33.59,26.89,60.13,4.94
9,Viedma,100,AR,1595266577,82,-40.81,-63.0,52.0,4.0
10,Huarmey,62,PE,1595266635,66,-10.07,-78.15,67.17,10.11
11,Ushuaia,0,AR,1595266611,92,-54.8,-68.3,28.4,0.94
12,Milići,20,BA,1595266636,50,44.17,19.09,78.8,3.36
13,Vaini,40,TO,1595266636,83,-21.2,-175.2,69.8,9.17
14,Mayumba,97,GA,1595266636,88,-3.43,10.66,71.56,3.06
15,Albany,74,US,1595266517,38,42.6,-73.97,91.0,1.01
16,Puerto Carreño,75,CO,1595266637,78,6.19,-67.49,78.8,6.93
17,Saint Paul Harbor,1,US,1595266475,63,57.79,-152.41,64.4,8.05
18,Los Llanos de Aridane,20,ES,1595266637,65,28.66,-17.92,77.0,19.46
19,Lompoc,27,US,1595266616,77,34.64,-120.46,60.8,10.29
20,Rikitea,83,PF,1595266475,64,-23.12,-134.97,67.96,14.41
21,Pisco,90,PE,1595266458,87,-13.7,-76.22,62.01,5.82
22,Votkinsk,80,RU,1595266638,93,57.05,53.99,62.01,3.2
23,San Quintín,0,MX,1595266638,49,30.48,-115.95,77.81,20.38
24,Ejura,99,GH,1595266638,85,7.39,-1.36,77.16,2.01
25,Mount Isa,63,AU,1595266639,26,-20.73,139.5,60.8,10.29
26,Asău,76,RO,1595266639,90,46.43,26.4,62.01,1.88
27,Makakilo City,75,US,1595266639,83,21.35,-158.09,78.8,3.36
28,Youhao,19,CN,1595266640,94,47.87,128.83,58.37,3.18
29,Mareeba,40,AU,1595266640,77,-17.0,145.43,68.0,10.29
30,Torbay,75,CA,1595266516,57,47.67,-52.73,81.0,17.22
31,Havelock,1,US,1595266640,41,34.88,-76.9,93.2,5.82
32,Bulgan,0,MN,1595266641,85,48.81,103.53,54.57,1.43
33,Norman Wells,75,CA,1595266641,87,65.28,-126.83,57.2,2.24
34,Jamestown,20,US,1595266641,57,42.1,-79.24,81.0,14.99
35,New Norfolk,97,AU,1595266642,90,-42.78,147.06,46.0,3.0
36,Belaya Gora,84,RU,1595266642,58,68.53,146.42,64.89,6.31
37,Hong Kong,99,HK,1595266490,79,22.29,114.16,84.99,5.99
38,Volksrust,0,ZA,1595266642,38,-27.37,29.88,47.68,1.72
39,Padang,65,ID,1595266362,79,-0.95,100.35,78.66,5.41
40,Saint-Philippe,75,RE,1595266643,64,-21.36,55.77,68.0,19.46
